"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CG475","CG988","AB3","AT6","CG415","CG102","CG412","ICMP10754","SBV_10752","CG1000","K306","NCPPB3554","CG516"
"g003375_1_000007","g003375_1","glnP","Glutamine transport system permease protein GlnP",80,17,219,1,1,2,0,1,0,1,220,"Glutamine transport system permease protein GlnP(219):hypothetical protein(1)","glnP(219):NA(1)",420,669,667.45,1692,1,"CG475_00258","CG988_01444","AB3_04503","AT6_01507","CG415_00431","CG102_04112","CG412_00185","ICMP10754_02584","SBV_10752_02165","CG1000_03150","K306_04110","NCPPB3554_00751","CG516_05296"
"g001808_1_000008","g001808_1","artQ","Arginine transport system permease protein ArtQ",80,24,219,1,1,2,1,1,1,1,220,"Arginine transport system permease protein ArtQ(220):hypothetical protein(1)","artQ(220):NA(1)",243,651,647.58,1692,2,"CG475_00259","CG988_01445","AB3_04502","AT6_01508","CG415_00430","CG102_04111","CG412_00184","ICMP10754_02583","SBV_10752_02164","CG1000_03149","K306_04111","NCPPB3554_00750","CG516_05295"
"g001306_1_000007","g001306_1","glnH","ABC transporter glutamine-binding protein GlnH",80,25,219,1.01,1,2,1,3,2,3,222,"ABC transporter glutamine-binding protein GlnH(182):Membrane-bound lytic murein transglycosylase F(35):hypothetical protein(7)","glnH(182):mltF(35):NA(7)",249,855,824.73,1692,3,"CG475_00260","CG988_01446","AB3_04501","AT6_01509","CG415_00429","CG102_04110","CG412_00183","ICMP10754_02582","SBV_10752_02163","CG1000_03148","K306_04112","NCPPB3554_00749","CG516_05294"
"g001698_1_000001","g001698_1","kduD","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase",60,30,219,1,1,2,0,1,0,1,220,"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase(220)","kduD(220)",744,774,745.94,1693,1,"CG475_04743","CG988_05081","AB3_05371","AT6_00985","CG415_00860","CG102_04756","CG412_00728","ICMP10754_00317;ICMP10754_00402","SBV_10752_03337","CG1000_02367","K306_00344","NCPPB3554_03959","CG516_01134"
"g003452","g003452","kduI","4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase",50,23,219,1.01,1,2,0,3,0,3,222,"4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase(151):4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1(71)","kduI(151):kduI1(71)",822,882,825.95,1693,2,"CG475_04742","CG988_05082","AB3_05370","AT6_00984","CG415_00861","CG102_04755","CG412_00729","ICMP10754_00316;ICMP10754_00403","SBV_10752_03336","CG1000_02366","K306_00345","NCPPB3554_03958","CG516_01133"
"g000833","g000833","hemN","Oxygen-independent coproporphyrinogen III oxidase",50,41,219,1,1,1,0,0,0,0,219,"Oxygen-independent coproporphyrinogen III oxidase(219)","hemN(219)",1347,1353,1350.62,1694,1,"CG475_04280","CG988_00405","AB3_03289","AT6_03205","CG415_02223","CG102_02301","CG412_04163","ICMP10754_05182","SBV_10752_04089","CG1000_00471","K306_01641","NCPPB3554_03071","CG516_02794"
"g001396","g001396",NA,"hypothetical protein",50,29,219,1,1,1,4,0,4,0,219,"hypothetical protein(215):putative signaling protein(8)","NA(223)",567,2043,1915.08,1695,1,"CG475_01132","CG988_00725","AB3_00502","AT6_01179","CG415_03297","CG102_03975",NA,"(ICMP10754_01198:ICMP10754_01199)","SBV_10752_02579","(CG1000_02605:CG1000_02606)","K306_05175","NCPPB3554_04737","CG516_02135"
"g003421_000002","g003421","nicS","HTH-type transcriptional repressor NicS",70,23,219,1,1,1,0,0,0,0,219,"HTH-type transcriptional repressor NicS(212):hypothetical protein(7)","nicS(212):NA(7)",687,741,701.75,1696,1,"CG475_00264","CG988_01450","AB3_04497","AT6_01513","CG415_00425","CG102_04106","CG412_00179","ICMP10754_02578","SBV_10752_02159","CG1000_03144","K306_04116","NCPPB3554_00745","CG516_05290"
"g002173","g002173",NA,"hypothetical protein",50,31,219,1,1,2,0,1,0,1,220,"hypothetical protein(220)","NA(220)",144,288,220.16,1697,1,"CG475_04633","CG988_05188","AB3_05263","AT6_02400","CG415_00969","CG102_04641","CG412_00842","ICMP10754_00202","SBV_10752_03223","CG1000_02253","K306_00458","NCPPB3554_03845","CG516_03358"
"g001495_000002","g001495",NA,"hypothetical protein",70,37,218,1,1,1,0,0,0,0,218,"hypothetical protein(218)","NA(218)",408,456,408.91,1700,1,"CG475_02011","CG988_04630","AB3_05188","AT6_03149","CG415_04771","CG102_04304","CG412_02066","ICMP10754_01646","SBV_10752_00344","CG1000_00011","K306_02102","NCPPB3554_02610","CG516_00275"
"g000494","g000494",NA,"hypothetical protein",50,51,218,1,1,1,0,0,0,0,218,"hypothetical protein(218)","NA(218)",327,681,540.36,1701,1,"CG475_01832","CG988_04054","AB3_01345","AT6_03737","CG415_04027","CG102_03877","CG412_01959","ICMP10754_01539","SBV_10752_00451","CG1000_04359","K306_02209","NCPPB3554_02494","CG516_00169"
"g000033_1_000001","g000033_1",NA,"hypothetical protein",60,83,218,1.59,1,5,0,86,0,129,347,"hypothetical protein(347)","NA(347)",252,540,516.66,1702,1,"CG475_01626","CG988_01989;CG988_02281","AB3_03565","AT6_04964","CG415_01305;CG415_03453",NA,NA,NA,NA,NA,NA,NA,"CG516_01488;CG516_02547;CG516_03139"
"g000418_000001","g000418",NA,"hypothetical protein",60,58,218,1.23,1,3,0,38,0,51,269,"hypothetical protein(269)","NA(269)",135,240,238.99,1703,1,"CG475_03649;CG475_04538","CG988_02736;CG988_02945","AB3_02750;AB3_03032","AT6_04093;AT6_05274","CG415_01965","CG102_02920","CG412_03906","ICMP10754_04866","SBV_10752_01179","CG1000_00793","K306_01384","NCPPB3554_03328","CG516_00948;CG516_04564"
"g006122_000001","g006122",NA,"hypothetical protein",60,12,218,1.03,1,2,0,6,0,6,224,"hypothetical protein(224)","NA(224)",168,225,168.88,1705,1,NA,NA,NA,NA,"CG415_02237","CG102_02922;CG102_04005","CG412_04127","ICMP10754_05158","SBV_10752_04963","CG1000_02658","K306_01156","NCPPB3554_01335","CG516_04036"
"g002566_1_000006","g002566_1","thyA","Thymidylate synthase",80,25,217,1,1,1,0,0,0,0,217,"Thymidylate synthase(217)","thyA(217)",303,840,790.67,1708,1,"CG475_03739","CG988_02593","AB3_00815","AT6_00622","CG415_01686","CG102_02780","CG412_04412","ICMP10754_05043","SBV_10752_04903","CG1000_02881","K306_01096","NCPPB3554_01431","CG516_02390"
"g002992_1_000005","g002992_1","fixN","Cytochrome c oxidase subunit 1 %2C bacteroid",80,22,216,1,1,1,0,0,0,0,216,"Cytochrome c oxidase subunit 1 %2C bacteroid(216)","fixN(216)",1599,1674,1632.9,1709,1,"CG475_04324","CG988_00361","AB3_03245","AT6_04307","CG415_02178","CG102_02255","CG412_04209","ICMP10754_05228","SBV_10752_04135","CG1000_00517","K306_01595","NCPPB3554_03117","CG516_02749"
"g004025_1_000005","g004025_1",NA,"hypothetical protein",80,17,216,1,1,1,0,0,0,0,216,"hypothetical protein(216)","NA(216)",732,777,738.04,1709,2,"CG475_04325","CG988_00360","AB3_03244","AT6_04306","CG415_02177","CG102_02254","CG412_04210","ICMP10754_05229","SBV_10752_04136","CG1000_00518","K306_01594","NCPPB3554_03118","CG516_02748"
"g004882_000002","g004882",NA,"hypothetical protein",70,16,216,1,1,1,0,0,0,0,216,"hypothetical protein(216)","NA(216)",153,162,155.08,1709,3,"CG475_04326","CG988_00359","AB3_03243","AT6_04305","CG415_02176","CG102_02253","CG412_04211","ICMP10754_05230","SBV_10752_04137","CG1000_00519","K306_01593","NCPPB3554_03119","CG516_02747"
"g002768_000002","g002768","ccoP","Cbb3-type cytochrome c oxidase subunit CcoP",70,27,216,1,1,1,0,0,0,0,216,"Cbb3-type cytochrome c oxidase subunit CcoP(216)","ccoP(216)",864,867,864.04,1709,4,"CG475_04327","CG988_00358","AB3_03242","AT6_04304","CG415_02175","CG102_02252","CG412_04212","ICMP10754_05231","SBV_10752_04138","CG1000_00520","K306_01592","NCPPB3554_03120","CG516_02746"
"g002349_000002","g002349",NA,"hypothetical protein",70,27,216,1,1,1,1,0,1,0,216,"hypothetical protein(218)","NA(218)",360,1587,1569.01,1709,5,"CG475_04515","CG988_02984","AB3_03055","AT6_04116","CG415_01987","CG102_02897","CG412_03883","ICMP10754_04889","SBV_10752_01202","CG1000_00816","K306_01407","NCPPB3554_03305","CG516_02317"
"g001453","g001453",NA,"hypothetical protein",50,37,216,1,1,1,0,0,0,0,216,"hypothetical protein(216)","NA(216)",489,501,499.43,1709,6,"CG475_04514","CG988_02985","AB3_03056","AT6_04117","CG415_01988","CG102_02896","CG412_03882","ICMP10754_04890","SBV_10752_01203","CG1000_00817","K306_01408","NCPPB3554_03304","CG516_02316"
"g001377","g001377",NA,"hypothetical protein",50,37,216,1,1,2,19,1,19,1,217,"hypothetical protein(236)","NA(236)",318,744,365.21,1710,1,"CG475_01717","CG988_04168","AB3_01459","AT6_03623","CG415_04136","CG102_03718","CG412_01855","ICMP10754_01435","SBV_10752_00555","CG1000_04255","K306_02314","NCPPB3554_02390","CG516_00061"
"g002656_000002","g002656","rfnT","Riboflavin transporter RfnT",70,25,216,1,1,1,1,0,1,0,216,"Riboflavin transporter RfnT(217)","rfnT(217)",327,1236,1218.68,1711,1,"CG475_02220","CG988_04421","AB3_04979","AT6_05010","CG415_04983","CG102_04514","CG412_02276","ICMP10754_01856","SBV_10752_00134","CG1000_00221","K306_01892","NCPPB3554_02820","CG516_03044"
"g003483_1_000003","g003483_1","fixK","Nitrogen fixation regulation protein FixK",70,22,216,1,1,1,0,0,0,0,216,"Nitrogen fixation regulation protein FixK(210):hypothetical protein(6)","fixK(210):NA(6)",726,816,729.9,1712,1,"CG475_04279","CG988_00406","AB3_03290","AT6_03206","CG415_02224","CG102_02302","CG412_04162","ICMP10754_05181","SBV_10752_04088","CG1000_00470","K306_01642","NCPPB3554_03070","CG516_02795"
"g000700_000001","g000700","copA","Copper-exporting P-type ATPase",60,49,216,1,1,1,0,0,0,0,216,"Copper-exporting P-type ATPase(180):putative copper-importing P-type ATPase A(32):putative copper-transporting ATPase PacS(4)","copA(212):pacS(4)",492,2364,2269,1713,1,"CG475_04513","CG988_02986","AB3_03057","AT6_04118","CG415_01989","CG102_02895","CG412_03881","ICMP10754_04891","SBV_10752_01204","CG1000_00818","K306_01409","NCPPB3554_03303","CG516_02315"
"g002392","g002392","pgrR","HTH-type transcriptional regulator PgrR",50,28,215,1,1,2,2,1,2,1,216,"HTH-type transcriptional regulator PgrR(216):hypothetical protein(2)","pgrR(216):NA(2)",285,1005,913.22,1716,1,"CG475_00828","CG988_03275","AB3_00297","AT6_01057","CG415_02564","CG102_00434","CG412_04622","ICMP10754_00168","SBV_10752_05141","CG1000_05060","K306_00934","NCPPB3554_05159","CG516_00975"
"g003142_000001","g003142","uspF","Universal stress protein F",60,25,215,1,1,1,0,0,0,0,215,"Universal stress protein F(215)","uspF(215)",411,411,411,1717,1,"CG475_01952","CG988_04691","AB3_02473","AT6_02290","CG415_03982","CG102_02512","CG412_02009","ICMP10754_01589","SBV_10752_00401","CG1000_04409","K306_02159","NCPPB3554_02544","CG516_00216"
"g000356_000001","g000356","cysG","Siroheme synthase",60,59,215,1,1,1,0,0,0,0,215,"Siroheme synthase(215)","cysG(215)",1116,1638,1476.18,1718,1,"CG475_01386","CG988_03730","AB3_01268","AT6_03051","CG415_00793","CG102_01652","CG412_00547","ICMP10754_02946","SBV_10752_02527","CG1000_01802","K306_04712","NCPPB3554_01112","CG516_01591"
"g000301_1_000003","g000301_1","blh","Beta-lactamase hydrolase-like protein",70,59,214,1.03,1,3,1,5,1,7,221,"Beta-lactamase hydrolase-like protein(222)","blh(222)",627,1368,1277.54,1721,1,"CG475_02179","CG988_04462","AB3_05020","AT6_05051","CG415_04942","CG102_04474","CG412_02236","ICMP10754_01816","SBV_10752_00174","CG1000_00181","K306_01932","NCPPB3554_02780","CG516_00443"
"g000129","g000129",NA,"hypothetical protein",50,79,214,1.21,1,4,9,29,9,45,259,"hypothetical protein(268)","NA(268)",438,960,620.6,1722,1,"(CG475_02002:CG475_03654)","CG988_02731;CG988_04639","AB3_02745;AB3_05197","AT6_03140;AT6_04443;AT6_05279","CG415_04762","CG102_04297","CG412_02059","ICMP10754_01639","SBV_10752_00351","CG1000_00004","K306_02109","NCPPB3554_02603","CG516_00266"
"g002928_1_000003","g002928_1",NA,"hypothetical protein",70,23,214,1,1,1,0,0,0,0,214,"hypothetical protein(214)","NA(214)",150,177,157.54,1723,1,"CG475_04512","CG988_02987","AB3_03058","AT6_04119","CG415_01990","CG102_02894","CG412_03880","ICMP10754_04892","SBV_10752_01205","CG1000_00819","K306_01410","NCPPB3554_03302","CG516_02314"
"g000350","g000350",NA,"hypothetical protein",50,61,213,1,1,1,0,0,0,0,213,"hypothetical protein(213)","NA(213)",183,315,251.06,1725,1,"CG475_04909","CG988_03535","AB3_00046","AT6_00077","CG415_02824","CG102_00928","CG412_01055","ICMP10754_04385","SBV_10752_03009","CG1000_01959","K306_00672","NCPPB3554_03631","CG516_04415"
"g002008","g002008","rhaR","HTH-type transcriptional activator RhaR",50,31,213,1,1,1,1,0,1,0,213,"HTH-type transcriptional activator RhaR(122):HTH-type transcriptional activator RhaS(86):hypothetical protein(3):HTH-type transcriptional activator Btr(3)","rhaR(122):rhaS(86):btr(3):NA(3)",312,936,842.87,1726,1,"CG475_02135","CG988_04506","AB3_05064","AT6_05095","CG415_04898","CG102_04430","CG412_02192","ICMP10754_01772","SBV_10752_00218","CG1000_00137","K306_01976","NCPPB3554_02736","CG516_00399"
"g002307_000001","g002307","ompW","hypothetical protein",60,29,213,1,1,2,0,1,0,1,214,"hypothetical protein(197):Outer membrane protein W(17)","NA(197):ompW(17)",684,702,697.79,1727,1,"CG475_04665","CG988_05158","AB3_05293","AT6_02430","CG415_00936","CG102_04672","CG412_00811","ICMP10754_00234;ICMP10754_00485","SBV_10752_03254","CG1000_02284","K306_00427","NCPPB3554_03876","CG516_03438"
"g000318_000001","g000318",NA,"hypothetical protein",60,61,213,1,1,1,0,0,0,0,213,"hypothetical protein(213)","NA(213)",132,543,488.44,1728,1,"CG475_02665","CG988_03648","AB3_00159","AT6_02507","CG415_02941","CG102_00817","CG412_00944","ICMP10754_04496","SBV_10752_03121","CG1000_02071","K306_00560","NCPPB3554_03743","CG516_04304"
"g004859_000003","g004859",NA,"Peroxiredoxin",80,16,213,1,1,1,0,0,0,0,213,"Peroxiredoxin(213)","NA(213)",537,540,537.72,1729,1,"CG475_04902","CG988_03527","AB3_00038","AT6_00069","CG415_02817","CG102_00936","CG412_01062","ICMP10754_04378","SBV_10752_03001","CG1000_01951","K306_00680","NCPPB3554_03623","CG516_04423"
"g000146_1_000003","g000146_1","soxA","Sarcosine oxidase subunit alpha",70,63,213,1,1,2,0,1,0,1,214,"Sarcosine oxidase subunit alpha(214)","soxA(214)",1467,3039,2945.05,1730,1,"CG475_00021","CG988_03839","AB3_02093","AT6_01973","CG415_00682","CG102_05117","CG412_00433","ICMP10754_02832","SBV_10752_02413","CG1000_03398","K306_03863","NCPPB3554_00998","CG516_01238;CG516_01702"
"g000946","g000946",NA,"hypothetical protein",50,43,213,1,1,1,0,0,0,0,213,"hypothetical protein(213)","NA(213)",279,513,490.51,1731,1,"CG475_02114","CG988_04527","AB3_05085","AT6_05116","CG415_04878","CG102_04408","CG412_02170","ICMP10754_01750","SBV_10752_00240","CG1000_00115","K306_01998","NCPPB3554_02714","CG516_00379"
"g000748_1_000001","g000748_1","cdhR","HTH-type transcriptional regulator CdhR",60,47,213,1,1,2,0,1,0,1,214,"HTH-type transcriptional regulator CdhR(214)","cdhR(214)",558,1047,941.62,1732,1,"CG475_00018","CG988_03836","AB3_02090","AT6_01970","CG415_00685","CG102_05120","CG412_00436","ICMP10754_02835","SBV_10752_02416","CG1000_03401","K306_03860","NCPPB3554_01001","CG516_01242;CG516_01699"
"g000472","g000472",NA,"hypothetical protein",50,56,212,1,1,1,0,0,0,0,212,"hypothetical protein(212)","NA(212)",336,342,336.72,1733,1,"CG475_02008","CG988_04633","AB3_05191","AT6_03146","CG415_04768",NA,NA,NA,NA,NA,NA,NA,"CG516_00272"
"g000307_1_000005","g000307_1","soxD","Sarcosine oxidase subunit delta",70,50,212,1,1,2,0,1,0,1,213,"Sarcosine oxidase subunit delta(212):hypothetical protein(1)","soxD(212):NA(1)",273,279,276.58,1734,1,"CG475_00020","CG988_03838","AB3_02092","AT6_01972","CG415_00683","CG102_05118","CG412_00434","ICMP10754_02833","SBV_10752_02414","CG1000_03399","K306_03862","NCPPB3554_00999","CG516_01239;CG516_01701"
"g000240_1_000001","g000240_1","tfdF","Maleylacetate reductase",60,57,212,1.03,1,3,1,6,1,7,219,"Maleylacetate reductase(219):hypothetical protein(1)","tfdF(219):NA(1)",222,1083,1053.85,1735,1,"CG475_01262","CG988_01062","AB3_02543","AT6_01343","CG415_03344",NA,NA,NA,NA,NA,NA,NA,"CG516_02571"
"g004957","g004957",NA,"hypothetical protein",50,16,212,1.02,1,2,0,5,0,5,217,"hypothetical protein(217)","NA(217)",765,774,770.64,1736,1,"CG475_00994","CG988_03185","AB3_00363","AT6_03811","CG415_03196","CG102_02669",NA,"ICMP10754_00853","SBV_10752_01732","CG1000_01665","K306_05077","NCPPB3554_04925","CG516_03299"
"g000278_000002","g000278","bapA","Beta-peptidyl aminopeptidase BapA",70,64,212,1,1,1,1,0,1,0,212,"Beta-peptidyl aminopeptidase BapA(212):hypothetical protein(1)","NA(201):bapA(12)",456,1113,1056.24,1738,1,"CG475_01370","CG988_03714","AB3_01252","AT6_03067","CG415_00809","CG102_01636","CG412_00563","ICMP10754_02962","SBV_10752_02543","CG1000_01818","K306_04696","NCPPB3554_01128","CG516_01575"
"g004341_000001","g004341","yphF","ABC transporter periplasmic-binding protein YphF",60,18,211,1,1,1,0,0,0,0,211,"ABC transporter periplasmic-binding protein YphF(119):Ribose import binding protein RbsB(91):hypothetical protein(1)","yphF(119):rbsB(91):NA(1)",216,960,946.22,1739,1,"CG475_00998","CG988_03181","AB3_00367","AT6_03807","CG415_03200","CG102_02665",NA,"ICMP10754_00849","SBV_10752_01736","CG1000_01669","K306_05081","NCPPB3554_04929","CG516_03303"
"g005752_000001","g005752","frcA","Fructose import ATP-binding protein FrcA",60,13,211,1,1,1,0,0,0,0,211,"Fructose import ATP-binding protein FrcA(211)","frcA(211)",795,819,804.2,1739,2,"CG475_00997","CG988_03182","AB3_00366","AT6_03808","CG415_03199","CG102_02666",NA,"ICMP10754_00850","SBV_10752_01735","CG1000_01668","K306_05080","NCPPB3554_04928","CG516_03302"
"g005677","g005677","xylH","Xylose transport system permease protein XylH",50,13,211,1,1,1,0,0,0,0,211,"Xylose transport system permease protein XylH(114):Ribose import permease protein RbsC(97)","xylH(114):rbsC(97)",1002,1041,1013.82,1739,3,"CG475_00996","CG988_03183","AB3_00365","AT6_03809","CG415_03198","CG102_02667",NA,"ICMP10754_00851","SBV_10752_01734","CG1000_01667","K306_05079","NCPPB3554_04927","CG516_03301"
"g002703","g002703","php","hypothetical protein",50,27,211,1,1,1,0,0,0,0,211,"hypothetical protein(123):Phosphotriesterase homology protein(88)","NA(123):php(88)",1023,1092,1073.89,1739,4,"CG475_00995","CG988_03184","AB3_00364","AT6_03810","CG415_03197","CG102_02668",NA,"ICMP10754_00852","SBV_10752_01733","CG1000_01666","K306_05078","NCPPB3554_04926","CG516_03300"
"g005381_000002","g005381","ssuD","Alkanesulfonate monooxygenase",70,13,211,1,1,1,1,0,1,0,211,"Alkanesulfonate monooxygenase(139):Pyrimidine monooxygenase RutA(40):Methanesulfonate monooxygenase(32):hypothetical protein(1)","ssuD(139):rutA(40):msuD(32):NA(1)",351,1110,1098.03,1740,1,"CG475_00775","CG988_01963","AB3_04400","AT6_00484","CG415_05240","CG102_02104","CG412_03510","ICMP10754_04051","SBV_10752_00866","CG1000_03752","K306_04648","NCPPB3554_00214","CG516_00803"
"g000276_1_000001","g000276_1",NA,"hypothetical protein",60,64,211,1,1,1,1,0,1,0,211,"hypothetical protein(212)","NA(212)",189,576,567.25,1741,1,"CG475_02007","CG988_04634","AB3_05192","AT6_03145","CG415_04767",NA,NA,NA,NA,NA,NA,NA,"CG516_00271"
"g001294_1_000007","g001294_1","hisQ","Histidine transport system permease protein HisQ",80,28,210,1,1,1,1,0,1,0,210,"Histidine transport system permease protein HisQ(210):Octopine transport system permease protein OccQ(1)","hisQ(210):occQ(1)",204,726,719.72,1742,1,"CG475_00612","CG988_01799","AB3_04163","AT6_05520","CG415_00010","CG102_01943","CG412_03671","ICMP10754_04212","SBV_10752_00957","CG1000_03913","K306_04485","NCPPB3554_00377","CG516_00591"
"g002604_1_000006","g002604_1","occM","Octopine transport system permease protein OccM",80,24,210,1.01,1,2,0,2,0,2,212,"Octopine transport system permease protein OccM(211):hypothetical protein(1)","occM(211):NA(1)",324,696,687.03,1742,2,"CG475_00611","CG988_01798","AB3_04162","AT6_05521","CG415_00011","CG102_01942","CG412_03672","ICMP10754_04213","SBV_10752_00958","CG1000_03914","K306_04484","NCPPB3554_00378","CG516_00592"
"g000524_000001","g000524","hipO","Hippurate hydrolase",60,51,210,1,1,1,0,0,0,0,210,"Hippurate hydrolase(167):N-acetyldiaminopimelate deacetylase(34):putative hydrolase YxeP(6):hypothetical protein(3)","hipO(167):NA(25):ykuR(12):yxeP(6)",177,1164,1123.16,1743,1,"CG475_00816","CG988_03260","AB3_00312","AT6_01043","CG415_02553","CG102_00423","CG412_04611","ICMP10754_00180","SBV_10752_05153","CG1000_05072","K306_00946","NCPPB3554_05171","CG516_05098"
"g003680_000001","g003680","ycaD","putative MFS-type transporter YcaD",60,20,210,1,1,1,0,0,0,0,210,"putative MFS-type transporter YcaD(210)","ycaD(210)",1236,1410,1273.96,1744,1,"CG475_02197","CG988_04444","AB3_05002","AT6_05033","CG415_04960","CG102_04492","CG412_02254","ICMP10754_01834","SBV_10752_00156","CG1000_00199","K306_01914","NCPPB3554_02798","CG516_00461"
"g001173","g001173","hyuC","N-carbamoyl-L-amino-acid hydrolase",50,40,210,1,1,2,0,1,0,1,211,"N-carbamoyl-L-amino-acid hydrolase(169):N-carbamoyl-L-amino acid hydrolase(42)","hyuC(169):amaB(42)",1242,1317,1259.74,1745,1,"CG475_00991","CG988_03188","AB3_00360","AT6_03814","CG415_03193","CG102_02672",NA,"ICMP10754_00856","SBV_10752_01729","CG1000_01662","K306_05074","NCPPB3554_04922","CG516_03296"
"g000054_000001","g000054","ligD","Multifunctional non-homologous end joining protein LigD",60,110,210,1.52,1,4,8,90,8,110,320,"Multifunctional non-homologous end joining protein LigD(294):hypothetical protein(21):Multifunctional non-homologous end joining DNA repair protein LigD(9):DNA ligase(5)","ligD(303):NA(21):lig(5)",156,1194,906.45,1746,1,"CG475_01613","CG988_04025","AB3_03579","AT6_04950","CG415_02442",NA,"CG412_01226","ICMP10754_00714","SBV_10752_01423","CG1000_01081","K306_00124","NCPPB3554_00112","CG516_03161"
"g004538_1_000002","g004538_1","proP","Proline/betaine transporter",70,13,209,1,1,1,2,0,2,0,209,"Proline/betaine transporter(207):hypothetical protein(3):Ectoine/proline transporter ProP(1)","proP(208):NA(3)",276,1347,1315.92,1747,1,"CG475_00012","CG988_03830","AB3_02084","AT6_01964","CG415_00691","CG102_05126","CG412_00442","ICMP10754_02841","SBV_10752_02422","CG1000_03407","K306_03854","NCPPB3554_01007","CG516_01693"
"g001356_1_000003","g001356_1","dmlR","HTH-type transcriptional regulator DmlR",70,23,209,1.16,1,3,2,33,2,34,243,"HTH-type transcriptional regulator DmlR(241):hypothetical protein(2):HTH-type transcriptional regulator HdfR(1):HTH-type transcriptional regulator DsdC(1)","dmlR(241):NA(2):hdfR(1):dsdC(1)",192,921,890.82,1748,1,"CG475_00537","CG988_01723","AB3_04714","AT6_01788","CG415_00088","CG102_01865;CG102_03913","CG412_03748","ICMP10754_04288","SBV_10752_01033","CG1000_03989","K306_04409","NCPPB3554_00453","CG516_00667"
"g002530","g002530","mdtA","Multidrug resistance protein MdtA",50,28,209,1,1,1,0,0,0,0,209,"Multidrug resistance protein MdtA(209)","mdtA(209)",1275,1332,1288.72,1750,1,"CG475_02046","CG988_04595","AB3_05153","AT6_05184","CG415_04807","CG102_04340","CG412_02102","ICMP10754_01682","SBV_10752_00308","CG1000_00047","K306_02066","NCPPB3554_02646","CG516_00311"
"g000175_000001","g000175","mepS","hypothetical protein",60,72,209,1,1,1,0,0,0,0,209,"hypothetical protein(200):Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase(9)","NA(200):mepS(9)",333,1317,437.9,1751,1,"CG475_02017","CG988_04624","AB3_05182","AT6_03155","CG415_04778","CG102_04311","CG412_02073","ICMP10754_01653","SBV_10752_00337","CG1000_00018","K306_02095","NCPPB3554_02617","CG516_00282"
"g001000","g001000",NA,"hypothetical protein",50,43,209,1.06,1,2,0,12,0,12,221,"hypothetical protein(221)","NA(221)",576,591,584.12,1752,1,NA,"CG988_01264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g001852","g001852",NA,"hypothetical protein",50,33,209,1,1,1,0,0,0,0,209,"hypothetical protein(209)","NA(209)",948,1314,1208.35,1753,1,"CG475_04793","CG988_03426","AB3_01112","AT6_02461","CG415_02711","CG102_00579","CG412_04767","ICMP10754_00023","SBV_10752_04996","CG1000_04915","K306_00789","NCPPB3554_05014","CG516_01442"
"g000337_000001","g000337","dinB","DNA polymerase IV",60,61,208,1.08,1,3,2,16,3,17,225,"DNA polymerase IV(225):DNA polymerase IV 1(2):hypothetical protein(1)","dinB(225):dinB1(2):NA(1)",177,1164,1024.96,1755,1,"CG475_01600;CG475_04844","CG988_02327;CG988_03476","AB3_01062;AB3_03339","AT6_00019;AT6_04381;AT6_04732","CG415_02429;CG415_02758","CG102_02845;CG102_03823","CG412_01118",NA,NA,"CG1000_02578;CG1000_02842","K306_00735;K306_05148","NCPPB3554_03567","CG516_01397"
"g004100","g004100","kgtP","Alpha-ketoglutarate permease",50,18,208,1.05,1,2,0,10,0,10,218,"Alpha-ketoglutarate permease(218)","kgtP(218)",1083,1338,1315.79,1756,1,"CG475_02865","CG988_02921","AB3_02936","AT6_04069","CG415_01929","CG102_02999","CG412_03929","ICMP10754_04843","SBV_10752_01156","CG1000_00770","K306_01361","NCPPB3554_03351","CG516_02030"
"g001794_1_000001","g001794_1","bigR","Biofilm growth-associated repressor",60,30,208,1.02,1,2,0,4,0,4,212,"Biofilm growth-associated repressor(212)","bigR(212)",333,357,351.28,1757,1,"CG475_02180","CG988_04461","AB3_05019","AT6_05050","CG415_04943","CG102_04475","CG412_02237","ICMP10754_01817","SBV_10752_00173","CG1000_00182","K306_01931","NCPPB3554_02781","CG516_00444"
"g004479_000001","g004479","lmrA","Multidrug resistance ABC transporter ATP-binding and permease protein",60,17,208,1,1,1,0,0,0,0,208,"Multidrug resistance ABC transporter ATP-binding and permease protein(115):Lipid A export ATP-binding/permease protein MsbA(93)","lmrA(115):msbA(93)",1800,1938,1802.93,1758,1,"CG475_04569","CG988_05253","AB3_03512","AT6_03274","CG415_02982","CG102_04580","CG412_00903","ICMP10754_04537","SBV_10752_03162","CG1000_02112","K306_00519","NCPPB3554_03784","CG516_04264"
