"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","R90","R891"
"g000797","g000797",NA,"hypothetical protein",50,47,228,1.01,1,2,0,2,0,2,230,"hypothetical protein(230)","NA(230)",411,492,417.09,1613,1,"R90_02919","R891_01294"
"g002189","g002189","bphP","hypothetical protein",50,29,228,1,1,1,1,0,1,0,228,"hypothetical protein(221):Bacteriophytochrome(8)","NA(221):bphP(8)",645,2610,2543.21,1616,1,"R90_01237","R891_01006"
"g002716_000002","g002716","yfkO","Putative NAD(P)H nitroreductase YfkO",70,26,228,1,1,1,0,0,0,0,228,"Putative NAD(P)H nitroreductase YfkO(158):Major NAD(P)H-flavin oxidoreductase(65):malonic semialdehyde reductase RutE(3):Oxygen-insensitive NAD(P)H nitroreductase(2)","yfkO(158):NA(65):rutE(3):nfsB(2)",579,816,640.33,1617,1,"R90_01717","R891_03164"
"g001781","g001781",NA,"hypothetical protein",50,33,228,1,1,1,1,0,1,0,228,"hypothetical protein(229)","NA(229)",303,1113,920.07,1618,1,"R90_01510","R891_00732"
"g000851_000001","g000851",NA,"hypothetical protein",60,46,228,1,1,1,0,0,0,0,228,"hypothetical protein(228)","NA(228)",507,540,526.39,1620,1,"R90_01529","R891_00713"
"g000623","g000623",NA,"hypothetical protein",50,50,228,1,1,1,1,0,1,0,228,"hypothetical protein(229)","NA(229)",204,2592,641.29,1621,1,"R90_00846","R891_04386"
"g000634_000001","g000634","lvr","putative NAD-dependent oxidoreductase",60,51,228,1.02,1,2,0,4,0,4,232,"putative NAD-dependent oxidoreductase(78):Levodione reductase(65):Dihydroanticapsin 7-dehydrogenase(62):3-oxoacyl-[acyl-carrier-protein] reductase FabG(25):Putative short-chain type dehydrogenase/reductase/MSMEI_5872(2)","NA(80):lvr(65):bacC(62):fabG(25)",774,945,784.64,1622,1,"R90_03373","R891_02097"
"g002791_000001","g002791","yfcA","putative membrane transporter protein YfcA",60,27,228,1,1,1,0,0,0,0,228,"putative membrane transporter protein YfcA(213):hypothetical protein(15)","yfcA(213):NA(15)",639,828,746.51,1623,1,"R90_03024","R891_01399"
"g005340_1_000009","g005340_1",NA,"hypothetical protein",90,12,227,1,1,1,0,0,0,0,227,"hypothetical protein(227)","NA(227)",603,603,603,1624,1,"R90_00138","R891_03618"
"g001078_000001","g001078","menH","2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase",60,42,227,1,1,1,0,0,0,0,227,"2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase(140):Putative aminoacrylate hydrolase RutD(87)","menH(140):rutD(87)",822,864,840.32,1624,2,"R90_00137","R891_03617"
"g001326_000001","g001326","rutF","FMN reductase (NADH) RutF",60,38,227,1,1,1,0,0,0,0,227,"FMN reductase (NADH) RutF(225):p-hydroxyphenylacetate 3-hydroxylase%2C reductase component(2)","rutF(225):C1-hpah(2)",921,954,934.53,1624,3,"R90_00136","R891_03616"
"g004363_000003","g004363","luxA","Alkanal monooxygenase alpha chain",80,18,227,1,1,1,1,0,1,0,227,"Alkanal monooxygenase alpha chain(170):hypothetical protein(32):F420-dependent glucose-6-phosphate dehydrogenase(26)","luxA(170):NA(32):fgd(26)",468,1041,1035.55,1624,4,"R90_00135","R891_03615"
"g002839_000003","g002839","betB","NAD/NADP-dependent betaine aldehyde dehydrogenase",80,24,227,1,1,1,3,0,3,0,227,"NAD/NADP-dependent betaine aldehyde dehydrogenase(143):NADP/NAD-dependent aldehyde dehydrogenase PuuC(69):Betaine aldehyde dehydrogenase(14):Phenylacetaldehyde dehydrogenase(2):Putative aldehyde dehydrogenase AldA(2)","betB(143):puuC(69):gbsA(14):styD(2):aldA(2)",654,1467,1446.74,1624,5,"R90_00134","R891_03614"
"g005082_000003","g005082","potD","Spermidine/putrescine-binding periplasmic protein",80,15,227,1,1,1,0,0,0,0,227,"Spermidine/putrescine-binding periplasmic protein(168):hypothetical protein(59)","potD(168):NA(59)",873,1011,1010.37,1624,6,"R90_00133","R891_03613"
"g001632_000002","g001632","ycjP","hypothetical protein",70,35,227,1,1,1,225,0,225,0,227,"hypothetical protein(217):Inner membrane ABC transporter permease protein YcjP(133):Spermidine/putrescine transport system permease protein PotB(63):Putrescine transport system permease protein PotH(34):Inner membrane ABC transporter permease protein YdcV(5)","NA(217):ycjP(133):potB(63):potH(34):ydcV(5)",801,1677,837.53,1624,7,"(R90_00131:R90_00132)","(R891_03611:R891_03612)"
"g003704_000002","g003704","potA","Spermidine/putrescine import ATP-binding protein PotA",70,21,227,1,1,1,0,0,0,0,227,"Spermidine/putrescine import ATP-binding protein PotA(226):Sulfate/thiosulfate import ATP-binding protein CysA(1)","potA(226):cysA(1)",1077,1086,1080.45,1624,8,"R90_00130","R891_03610"
"g000199_000001","g000199","dap","D-aminopeptidase",60,70,227,1,1,1,0,0,0,0,227,"D-aminopeptidase(219):Penicillin-binding protein 4*(8)","dap(219):pbpE(8)",1500,1572,1512.96,1626,1,"R90_02661","R891_01705"
"g003454_000002","g003454","rspR","HTH-type transcriptional repressor RspR",70,23,227,1,1,1,0,0,0,0,227,"HTH-type transcriptional repressor RspR(226):hypothetical protein(1)","rspR(226):NA(1)",132,744,695.85,1627,1,"R90_00139","R891_03619"
"g002997_000001","g002997",NA,"hypothetical protein",60,23,227,1.01,1,2,2,2,2,2,229,"hypothetical protein(231)","NA(231)",183,1878,1758.03,1628,1,"R90_01726","R891_03173"
"g001456","g001456","ybaN","Inner membrane protein YbaN",50,37,227,1.01,1,2,0,2,0,2,229,"Inner membrane protein YbaN(205):hypothetical protein(24)","ybaN(205):NA(24)",324,483,361.27,1631,1,"R90_01524","R891_00718"
"g002728","g002728",NA,"hypothetical protein",50,27,226,1,1,1,0,0,0,0,226,"hypothetical protein(226)","NA(226)",468,510,506.68,1634,1,"R90_02750","R891_01794"
"g001197_1_000001","g001197_1",NA,"hypothetical protein",60,39,226,1,1,1,0,0,0,0,226,"hypothetical protein(226)","NA(226)",429,930,468.56,1635,1,"R90_04496","R891_03312"
"g000388","g000388",NA,"hypothetical protein",50,59,226,1,1,2,0,1,0,1,227,"hypothetical protein(227)","NA(227)",762,984,958.8,1637,1,"R90_02884","R891_01259"
"g001746","g001746","dnaJ","Chaperone protein DnaJ",50,33,226,1,1,1,1,0,1,0,226,"Chaperone protein DnaJ(212):Chaperone protein DnaJ 1(15)","dnaJ(212):dnaJ1(15)",438,1290,1142.79,1638,1,"R90_04501","R891_03307"
"g002039","g002039",NA,"hypothetical protein",50,32,226,1,1,1,0,0,0,0,226,"hypothetical protein(226)","NA(226)",660,762,668.36,1639,1,"R90_02036","R891_00192"
"g003419_000003","g003419","decR","DNA-binding transcriptional activator DecR",80,23,226,1,1,1,0,0,0,0,226,"DNA-binding transcriptional activator DecR(192):hypothetical protein(34)","decR(192):NA(34)",438,492,450.69,1640,1,"R90_03269","R891_01993"
"g001187","g001187",NA,"hypothetical protein",50,40,226,1,1,1,1,0,1,0,226,"hypothetical protein(227)","NA(227)",573,699,587.38,1641,1,"R90_01341","R891_00901"
"g000993_000002","g000993",NA,"hypothetical protein",70,38,226,1,1,1,1,0,1,0,226,"hypothetical protein(228)","NA(228)",237,1317,873.96,1642,1,"R90_03564","R891_02288"
"g002306_000001","g002306","lldR","Putative L-lactate dehydrogenase operon regulatory protein",60,22,225,1,1,1,1,0,1,0,225,"Putative L-lactate dehydrogenase operon regulatory protein(223):HTH-type transcriptional regulator LutR(2):hypothetical protein(1)","lldR(223):lutR(2):NA(1)",348,720,686.96,1643,1,"R90_03104","R891_01477"
"g003000_000002","g003000","mglA","Galactose/methyl galactoside import ATP-binding protein MglA",70,25,225,1,1,1,0,0,0,0,225,"Galactose/methyl galactoside import ATP-binding protein MglA(225)","mglA(225)",1557,1575,1568.04,1643,2,"R90_03103","R891_01476"
"g006021_000003","g006021","rbsC","Ribose import permease protein RbsC",80,11,225,1,1,1,0,0,0,0,225,"Ribose import permease protein RbsC(225)","rbsC(225)",873,1050,1028.15,1643,3,"R90_03102","R891_01475"
"g006374_000003","g006374","alsB","D-allose-binding periplasmic protein",80,11,225,1,1,1,0,0,0,0,225,"D-allose-binding periplasmic protein(175):Ribose import binding protein RbsB(50)","alsB(175):rbsB(50)",942,942,942,1643,4,"R90_03101","R891_01474"
"g001634_000001","g001634","pld1","Pyridoxal 4-dehydrogenase",60,35,225,1,1,1,0,0,0,0,225,"Pyridoxal 4-dehydrogenase(225)","pld1(225)",960,1137,1014.36,1643,5,"R90_03100","R891_01473"
"g000243_000001","g000243",NA,"hypothetical protein",60,69,225,1,1,1,0,0,0,0,225,"hypothetical protein(225)","NA(225)",813,846,820.93,1643,6,"R90_03099","R891_01472"
"g000095_1_000001","g000095_1","tmung","hypothetical protein",60,59,225,1.01,1,2,1,3,1,3,228,"hypothetical protein(228):Type-4 uracil-DNA glycosylase(1)","NA(228):tmung(1)",375,1491,1428.18,1645,1,"R90_01251","R891_00991"
"g004517_000003","g004517",NA,"hypothetical protein",80,17,225,1,1,1,0,0,0,0,225,"hypothetical protein(225)","NA(225)",1044,1272,1235.8,1645,2,"R90_01252","R891_00990"
"g001423_1_000001","g001423_1","gcvA","Glycine cleavage system transcriptional activator",60,24,225,1,1,1,0,0,0,0,225,"Glycine cleavage system transcriptional activator(225)","gcvA(225)",429,978,918.33,1646,1,"R90_01775","R891_03220"
"g002524_000002","g002524","wbpA","UDP-N-acetyl-D-glucosamine 6-dehydrogenase",70,28,225,1,1,2,2,1,2,1,226,"UDP-N-acetyl-D-glucosamine 6-dehydrogenase(228)","wbpA(228)",282,1401,1333.5,1648,1,"R90_02881","R891_01256"
"g000832_000001","g000832","ptlI","Pentalenene oxygenase",60,44,225,1,1,1,1,0,1,0,225,"Pentalenene oxygenase(220):hypothetical protein(4):Putative cytochrome P450 132(2)","ptlI(220):NA(6)",321,1395,1375.77,1649,1,"R90_03343","R891_02068"
"g005234_000004","g005234","abo","4-methylaminobutanoate oxidase (formaldehyde-forming)",90,10,225,1,1,1,2,0,2,0,225,"4-methylaminobutanoate oxidase (formaldehyde-forming)(225):Aminomethyltransferase(1):Dimethylglycine oxidase(1)","abo(225):dmg(1):gcvT(1)",396,2634,2486.22,1651,1,"R90_02252","R891_00409"
"g000280_000001","g000280",NA,"hypothetical protein",60,65,225,1.01,1,2,86,3,86,3,228,"hypothetical protein(314)","NA(314)",177,819,389.57,1655,1,"(R90_01992:R90_02262)","(R891_00148:R891_00419)"
"g000831_000001","g000831","oxyE","6-methylpretetramide 4-monooxygenase",60,45,224,1.01,1,2,0,2,0,2,226,"6-methylpretetramide 4-monooxygenase(226)","oxyE(226)",1227,1266,1255.7,1657,1,"R90_02892","R891_01267"
"g003649_000001","g003649",NA,"putative signaling protein",60,20,224,1,1,1,2,0,2,0,224,"putative signaling protein(129):hypothetical protein(97)","NA(226)",297,2145,1926.7,1658,1,"R90_02749","R891_01793"
"g002948_1_000003","g002948_1",NA,"hypothetical protein",80,25,224,1.05,1,3,0,11,0,12,236,"hypothetical protein(236)","NA(236)",294,465,300.11,1659,1,"R90_00566","R891_04306"
"g000450_1_000001","g000450_1",NA,"hypothetical protein",60,48,223,1.98,1,4,0,163,0,219,442,"hypothetical protein(442)","NA(442)",141,1557,1489.39,1660,1,"R90_00706;R90_04022","R891_02733;R891_04154"
"g002989_000001","g002989","mppA","Periplasmic murein peptide-binding protein",60,25,223,1,1,1,2,0,2,0,223,"Periplasmic murein peptide-binding protein(136):Periplasmic oligopeptide-binding protein(89)","mppA(136):oppA(89)",516,1758,1582.19,1662,1,"R90_03453","R891_02177"
"g003567_000003","g003567","rhtC","Threonine efflux protein",80,21,223,1,1,1,0,0,0,0,223,"Threonine efflux protein(219):Arginine exporter protein ArgO(4)","rhtC(219):argO(4)",612,654,642.91,1663,1,"R90_02918","R891_01293"
"g001525","g001525",NA,"hypothetical protein",50,36,223,1,1,1,0,0,0,0,223,"hypothetical protein(223)","NA(223)",1359,1506,1369.59,1664,1,"R90_03743","R891_02468"
"g001796_1_000003","g001796_1","yhbO","Protein/nucleic acid deglycase 2",70,33,223,1,1,1,1,0,1,0,223,"Protein/nucleic acid deglycase 2(222):hypothetical protein(2)","yhbO(222):NA(2)",201,561,557.81,1665,1,"R90_03414","R891_02138"
"g001243_000001","g001243","ydhC","Inner membrane transport protein YdhC",60,39,223,1,1,1,1,0,1,0,223,"Inner membrane transport protein YdhC(217):Bicyclomycin resistance protein(5):hypothetical protein(1):Multidrug resistance protein MdtL(1)","ydhC(217):bcr(5):mdtL(1):NA(1)",588,1254,1191.58,1666,1,"R90_03069","R891_01443"
"g000248_000001","g000248","anmK","Anhydro-N-acetylmuramic acid kinase",60,63,223,1,1,2,1,1,1,1,224,"Anhydro-N-acetylmuramic acid kinase(224):hypothetical protein(1)","anmK(224):NA(1)",162,1701,1230.67,1667,1,"R90_01046","R891_01198"
"g005387_000001","g005387","ycjO","Inner membrane ABC transporter permease protein YcjO",60,14,222,1,1,1,0,0,0,0,222,"Inner membrane ABC transporter permease protein YcjO(219):sn-glycerol-3-phosphate transport system permease protein UgpA(3)","ycjO(219):ugpA(3)",819,963,902.89,1668,1,"R90_02576","R891_01619"
"g004238_000001","g004238","ycjP","Inner membrane ABC transporter permease protein YcjP",60,19,222,1,1,1,0,0,0,0,222,"Inner membrane ABC transporter permease protein YcjP(216):Trehalose transport system permease protein SugB(6)","ycjP(216):sugB(6)",828,831,828.08,1668,2,"R90_02577","R891_01620"
"g001862_000001","g001862",NA,"hypothetical protein",60,32,222,1,1,1,1,0,1,0,222,"hypothetical protein(223)","NA(223)",333,1338,1240.08,1669,1,"R90_00840","R891_04392"
"g000565","g000565",NA,"hypothetical protein",50,46,222,1,1,1,220,0,220,0,222,"hypothetical protein(442)","NA(442)",318,957,453.19,1669,2,"(R90_00838:R90_00839)","(R891_04393:R891_04394)"
"g002056_000001","g002056",NA,"hypothetical protein",60,31,222,1,1,1,0,0,0,0,222,"hypothetical protein(222)","NA(222)",138,405,229.04,1670,1,"R90_01858","R891_00014"
"g000043","g000043",NA,"hypothetical protein",50,118,222,2.01,1,3,22,219,22,225,447,"hypothetical protein(469)","NA(469)",207,3858,1885.54,1671,1,"R90_00849;R90_00850","R891_04381;R891_04382"
"g000234_2_000001","g000234_2",NA,"putative acyl-CoA thioester hydrolase",60,22,222,1,1,2,0,1,0,1,223,"putative acyl-CoA thioester hydrolase(222):hypothetical protein(1)","NA(223)",381,432,391.41,1672,1,"R90_01652","R891_03099"
"g000736","g000736",NA,"hypothetical protein",50,45,222,1,1,1,1,0,1,0,222,"hypothetical protein(223)","NA(223)",429,1989,1927.87,1673,1,"R90_03703","R891_02428"
"g000107","g000107",NA,"hypothetical protein",50,81,222,1,1,1,0,0,0,0,222,"hypothetical protein(222)","NA(222)",750,1014,840.55,1676,1,"R90_04343","R891_03465"
"g000453_1_000003","g000453_1",NA,"hypothetical protein",70,54,222,1,1,1,4,0,4,0,222,"hypothetical protein(226)","NA(226)",402,1683,1289.99,1677,1,"R90_00832","R891_04399"
"g000766_000001","g000766",NA,"hypothetical protein",60,48,221,1,1,1,0,0,0,0,221,"hypothetical protein(221)","NA(221)",309,435,370.71,1680,1,"R90_00845","R891_04387"
"g003877","g003877","cycB","Cyclodextrin-binding protein",50,19,221,1,1,1,0,0,0,0,221,"Cyclodextrin-binding protein(200):hypothetical protein(14):sn-glycerol-3-phosphate-binding periplasmic protein UgpB(7)","cycB(200):NA(14):ugpB(7)",1206,1236,1232.48,1682,1,"R90_02575","R891_01618"
"g001747_000001","g001747",NA,"hypothetical protein",60,33,221,1,1,1,1,0,1,0,221,"hypothetical protein(222)","NA(222)",372,1326,1169.12,1683,1,"R90_00837","R891_04395"
"g000417_000001","g000417",NA,"hypothetical protein",60,58,221,1,1,1,0,0,0,0,221,"hypothetical protein(221)","NA(221)",345,726,636.96,1684,1,NA,"R891_04385"
"g004630_000003","g004630",NA,"hypothetical protein",80,17,220,1,1,1,0,0,0,0,220,"hypothetical protein(220)","NA(220)",159,357,166.28,1685,1,"R90_03731","R891_02456"
"g002137","g002137","rutF","Flavin-dependent monooxygenase%2C reductase subunit HsaB",50,31,220,1,1,1,0,0,0,0,220,"Flavin-dependent monooxygenase%2C reductase subunit HsaB(97):FMN reductase (NADH) RutF(97):4-nitrophenol 4-monooxygenase/4-nitrocatechol 2-monooxygenase%2C reductase component(10):p-hydroxyphenylacetate 3-hydroxylase%2C reductase component(9):FMN reductase (NADH) NtaB(7)","rutF(97):hsaB(97):npcB(10):C1-hpah(9):ntaB(7)",522,660,545.43,1686,1,"R90_02685","R891_01729"
"g001055","g001055","lutR","HTH-type transcriptional regulator LutR",50,40,220,1.51,1,3,4,111,4,112,332,"HTH-type transcriptional regulator LutR(227):Transcriptional regulator NanR(53):Putative L-lactate dehydrogenase operon regulatory protein(44):Fatty acid metabolism regulator protein(6):putative HTH-type transcriptional regulator YurK(4):hypothetical protein(2)","lutR(227):nanR(53):lldR(44):fadR(6):yurK(4):NA(2)",249,897,746.54,1688,1,"R90_00532;R90_03905","R891_02615;R891_04012"
"g001101","g001101","guaB","Inosine-5'-monophosphate dehydrogenase",50,41,220,1,1,1,4,0,4,0,220,"Inosine-5'-monophosphate dehydrogenase(169):hypothetical protein(55)","guaB(169):NA(55)",426,1200,1134.64,1689,1,"R90_04084","R891_02795"
"g002536_000001","g002536",NA,"hypothetical protein",60,28,220,1,1,1,1,0,1,0,220,"hypothetical protein(219):putative protein(2)","NA(221)",351,1155,1137.62,1691,1,"R90_00010","R891_03490"
"g003375_1_000007","g003375_1","glnP","Glutamine transport system permease protein GlnP",80,17,219,1,1,2,0,1,0,1,220,"Glutamine transport system permease protein GlnP(219):hypothetical protein(1)","glnP(219):NA(1)",420,669,667.45,1692,1,"R90_03314","R891_02039"
"g001808_1_000008","g001808_1","artQ","Arginine transport system permease protein ArtQ",80,24,219,1,1,2,1,1,1,1,220,"Arginine transport system permease protein ArtQ(220):hypothetical protein(1)","artQ(220):NA(1)",243,651,647.58,1692,2,"R90_03313","R891_02038"
"g001306_1_000007","g001306_1","glnH","ABC transporter glutamine-binding protein GlnH",80,25,219,1.01,1,2,1,3,2,3,222,"ABC transporter glutamine-binding protein GlnH(182):Membrane-bound lytic murein transglycosylase F(35):hypothetical protein(7)","glnH(182):mltF(35):NA(7)",249,855,824.73,1692,3,"R90_03312","R891_02037"
"g001698_1_000001","g001698_1","kduD","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase",60,30,219,1,1,2,0,1,0,1,220,"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase(220)","kduD(220)",744,774,745.94,1693,1,"R90_03881","R891_02592"
"g003452","g003452","kduI","4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase",50,23,219,1.01,1,2,0,3,0,3,222,"4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase(151):4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1(71)","kduI(151):kduI1(71)",822,882,825.95,1693,2,"R90_00015","R891_03495"
"g000833","g000833","hemN","Oxygen-independent coproporphyrinogen III oxidase",50,41,219,1,1,1,0,0,0,0,219,"Oxygen-independent coproporphyrinogen III oxidase(219)","hemN(219)",1347,1353,1350.62,1694,1,"R90_01896","R891_00052"
"g001396","g001396",NA,"hypothetical protein",50,29,219,1,1,1,4,0,4,0,219,"hypothetical protein(215):putative signaling protein(8)","NA(223)",567,2043,1915.08,1695,1,"R90_01561","R891_00681"
"g003421_000002","g003421","nicS","HTH-type transcriptional repressor NicS",70,23,219,1,1,1,0,0,0,0,219,"HTH-type transcriptional repressor NicS(212):hypothetical protein(7)","nicS(212):NA(7)",687,741,701.75,1696,1,"R90_03309","R891_02034"
"g002173","g002173",NA,"hypothetical protein",50,31,219,1,1,2,0,1,0,1,220,"hypothetical protein(220)","NA(220)",144,288,220.16,1697,1,"R90_03413","R891_02137"
"g001495_000002","g001495",NA,"hypothetical protein",70,37,218,1,1,1,0,0,0,0,218,"hypothetical protein(218)","NA(218)",408,456,408.91,1700,1,"R90_00844","R891_04388"
"g006122_000001","g006122",NA,"hypothetical protein",60,12,218,1.03,1,2,0,6,0,6,224,"hypothetical protein(224)","NA(224)",168,225,168.88,1705,1,"R90_01978","R891_00134"
"g002566_1_000006","g002566_1","thyA","Thymidylate synthase",80,25,217,1,1,1,0,0,0,0,217,"Thymidylate synthase(217)","thyA(217)",303,840,790.67,1708,1,"R90_01136","R891_01108"
"g002992_1_000005","g002992_1","fixN","Cytochrome c oxidase subunit 1 %2C bacteroid",80,22,216,1,1,1,0,0,0,0,216,"Cytochrome c oxidase subunit 1 %2C bacteroid(216)","fixN(216)",1599,1674,1632.9,1709,1,"R90_01988","R891_00144"
"g004025_1_000005","g004025_1",NA,"hypothetical protein",80,17,216,1,1,1,0,0,0,0,216,"hypothetical protein(216)","NA(216)",732,777,738.04,1709,2,"R90_01989","R891_00145"
"g004882_000002","g004882",NA,"hypothetical protein",70,16,216,1,1,1,0,0,0,0,216,"hypothetical protein(216)","NA(216)",153,162,155.08,1709,3,"R90_01990","R891_00146"
"g002768_000002","g002768","ccoP","Cbb3-type cytochrome c oxidase subunit CcoP",70,27,216,1,1,1,0,0,0,0,216,"Cbb3-type cytochrome c oxidase subunit CcoP(216)","ccoP(216)",864,867,864.04,1709,4,"R90_01991","R891_00147"
"g002349_000002","g002349",NA,"hypothetical protein",70,27,216,1,1,1,1,0,1,0,216,"hypothetical protein(218)","NA(218)",360,1587,1569.01,1709,5,"R90_01994","R891_00150"
"g001453","g001453",NA,"hypothetical protein",50,37,216,1,1,1,0,0,0,0,216,"hypothetical protein(216)","NA(216)",489,501,499.43,1709,6,"R90_01995","R891_00151"
"g001377","g001377",NA,"hypothetical protein",50,37,216,1,1,2,19,1,19,1,217,"hypothetical protein(236)","NA(236)",318,744,365.21,1710,1,"R90_02024","R891_00180"
"g002656_000002","g002656","rfnT","Riboflavin transporter RfnT",70,25,216,1,1,1,1,0,1,0,216,"Riboflavin transporter RfnT(217)","rfnT(217)",327,1236,1218.68,1711,1,"R90_01078","R891_01166"
"g003483_1_000003","g003483_1","fixK","Nitrogen fixation regulation protein FixK",70,22,216,1,1,1,0,0,0,0,216,"Nitrogen fixation regulation protein FixK(210):hypothetical protein(6)","fixK(210):NA(6)",726,816,729.9,1712,1,"R90_01895","R891_00051"
"g000700_000001","g000700","copA","Copper-exporting P-type ATPase",60,49,216,1,1,1,0,0,0,0,216,"Copper-exporting P-type ATPase(180):putative copper-importing P-type ATPase A(32):putative copper-transporting ATPase PacS(4)","copA(212):pacS(4)",492,2364,2269,1713,1,"R90_01996","R891_00152"
"g002392","g002392","pgrR","HTH-type transcriptional regulator PgrR",50,28,215,1,1,2,2,1,2,1,216,"HTH-type transcriptional regulator PgrR(216):hypothetical protein(2)","pgrR(216):NA(2)",285,1005,913.22,1716,1,"R90_01250","R891_00992"
"g003142_000001","g003142","uspF","Universal stress protein F",60,25,215,1,1,1,0,0,0,0,215,"Universal stress protein F(215)","uspF(215)",411,411,411,1717,1,"R90_04359","R891_03448"
"g000129","g000129",NA,"hypothetical protein",50,79,214,1.21,1,4,9,29,9,45,259,"hypothetical protein(268)","NA(268)",438,960,620.6,1722,1,"R90_00835","R891_04397"
"g002928_1_000003","g002928_1",NA,"hypothetical protein",70,23,214,1,1,1,0,0,0,0,214,"hypothetical protein(214)","NA(214)",150,177,157.54,1723,1,"R90_01997","R891_00153"
"g000350","g000350",NA,"hypothetical protein",50,61,213,1,1,1,0,0,0,0,213,"hypothetical protein(213)","NA(213)",183,315,251.06,1725,1,"R90_01476","R891_00767"
"g000318_000001","g000318",NA,"hypothetical protein",60,61,213,1,1,1,0,0,0,0,213,"hypothetical protein(213)","NA(213)",132,543,488.44,1728,1,"R90_01572","R891_00670"
"g004859_000003","g004859",NA,"Peroxiredoxin",80,16,213,1,1,1,0,0,0,0,213,"Peroxiredoxin(213)","NA(213)",537,540,537.72,1729,1,"R90_01471","R891_00772"
"g000146_1_000003","g000146_1","soxA","Sarcosine oxidase subunit alpha",70,63,213,1,1,2,0,1,0,1,214,"Sarcosine oxidase subunit alpha(214)","soxA(214)",1467,3039,2945.05,1730,1,"R90_00149","R891_03629"
"g000748_1_000001","g000748_1","cdhR","HTH-type transcriptional regulator CdhR",60,47,213,1,1,2,0,1,0,1,214,"HTH-type transcriptional regulator CdhR(214)","cdhR(214)",558,1047,941.62,1732,1,"R90_00146","R891_03626"
"g000472","g000472",NA,"hypothetical protein",50,56,212,1,1,1,0,0,0,0,212,"hypothetical protein(212)","NA(212)",336,342,336.72,1733,1,"R90_00842","R891_04390"
"g000307_1_000005","g000307_1","soxD","Sarcosine oxidase subunit delta",70,50,212,1,1,2,0,1,0,1,213,"Sarcosine oxidase subunit delta(212):hypothetical protein(1)","soxD(212):NA(1)",273,279,276.58,1734,1,"R90_00148","R891_03628"
"g000276_1_000001","g000276_1",NA,"hypothetical protein",60,64,211,1,1,1,1,0,1,0,211,"hypothetical protein(212)","NA(212)",189,576,567.25,1741,1,"R90_00841","R891_04391"
"g001294_1_000007","g001294_1","hisQ","Histidine transport system permease protein HisQ",80,28,210,1,1,1,1,0,1,0,210,"Histidine transport system permease protein HisQ(210):Octopine transport system permease protein OccQ(1)","hisQ(210):occQ(1)",204,726,719.72,1742,1,"R90_00888","R891_04343"
"g002604_1_000006","g002604_1","occM","Octopine transport system permease protein OccM",80,24,210,1.01,1,2,0,2,0,2,212,"Octopine transport system permease protein OccM(211):hypothetical protein(1)","occM(211):NA(1)",324,696,687.03,1742,2,"R90_00889","R891_04342"
"g000524_000001","g000524","hipO","Hippurate hydrolase",60,51,210,1,1,1,0,0,0,0,210,"Hippurate hydrolase(167):N-acetyldiaminopimelate deacetylase(34):putative hydrolase YxeP(6):hypothetical protein(3)","hipO(167):NA(25):ykuR(12):yxeP(6)",177,1164,1123.16,1743,1,"R90_02684","R891_01728"
"g001356_1_000003","g001356_1","dmlR","HTH-type transcriptional regulator DmlR",70,23,209,1.16,1,3,2,33,2,34,243,"HTH-type transcriptional regulator DmlR(241):hypothetical protein(2):HTH-type transcriptional regulator HdfR(1):HTH-type transcriptional regulator DsdC(1)","dmlR(241):NA(2):hdfR(1):dsdC(1)",192,921,890.82,1748,1,"R90_00788","R891_04072"
"g004054_000002","g004054","btuD","Putative multidrug export ATP-binding/permease protein",70,19,209,1,1,1,0,0,0,0,209,"Putative multidrug export ATP-binding/permease protein(156):Vitamin B12 import ATP-binding protein BtuD(53)","NA(156):btuD(53)",1851,1860,1853.14,1749,1,"R90_01314","R891_00928"
"g000175_000001","g000175","mepS","hypothetical protein",60,72,209,1,1,1,0,0,0,0,209,"hypothetical protein(200):Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase(9)","NA(200):mepS(9)",333,1317,437.9,1751,1,"R90_00848","R891_04383"
"g001852","g001852",NA,"hypothetical protein",50,33,209,1,1,1,0,0,0,0,209,"hypothetical protein(209)","NA(209)",948,1314,1208.35,1753,1,"R90_01373","R891_00870"
"g000337_000001","g000337","dinB","DNA polymerase IV",60,61,208,1.08,1,3,2,16,3,17,225,"DNA polymerase IV(225):DNA polymerase IV 1(2):hypothetical protein(1)","dinB(225):dinB1(2):NA(1)",177,1164,1024.96,1755,1,"R90_00096","R891_03576"
