"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","X17_2069_2c","X17_2069_2b"
"g000077_1_000001","g000077_1",NA,"hypothetical protein",60,82,126,2.23,1,7,40,79,57,155,281,"hypothetical protein(131):IS5 family transposase ISRm33(128):IS5 family transposase ISAra1(67):IS5 family transposase ISHph1(13)","NA(339)",171,1350,674.85,3053,1,"17_2069_2c_04351","17_2069_2b_04450"
"g008222_000001","g008222","tzs","Adenylate dimethylallyltransferase",60,8,126,1.02,1,2,0,2,0,2,128,"Adenylate dimethylallyltransferase(128)","tzs(128)",729,759,733.76,3054,1,"17_2069_2c_00605","17_2069_2b_00516"
"g003079_000002","g003079",NA,"hypothetical protein",70,25,125,1.01,1,2,0,1,0,1,126,"hypothetical protein(126)","NA(126)",168,621,609.69,3058,1,"17_2069_2c_00161","17_2069_2b_00163"
"g006573","g006573",NA,"Hydroxycinnamoyl-CoA hydratase-lyase",50,11,125,1,1,1,0,0,0,0,125,"Hydroxycinnamoyl-CoA hydratase-lyase(125)","NA(125)",828,846,836.06,3061,1,"17_2069_2c_02452","17_2069_2b_02452"
"g001877_1_000002","g001877_1",NA,"hypothetical protein",70,25,125,1.06,1,2,19,7,19,7,132,"hypothetical protein(151)","NA(151)",192,969,718.81,3063,1,"17_2069_2c_00652","17_2069_2b_00563"
"g005070_000001","g005070","bphC","Manganese-dependent 2%2C3-dihydroxybiphenyl 1%2C2-dioxygenase",60,15,125,1.03,1,2,0,4,0,4,129,"Manganese-dependent 2%2C3-dihydroxybiphenyl 1%2C2-dioxygenase(129)","bphC(129)",783,1020,963.84,3064,1,"17_2069_2c_02625","17_2069_2b_02625"
"g001042","g001042","ywrD","Glutathione hydrolase-like YwrD proenzyme",50,42,125,1,1,1,0,0,0,0,125,"Glutathione hydrolase-like YwrD proenzyme(118):Oxamate amidohydrolase proenzyme(7)","ywrD(118):hpxW(7)",1554,1638,1595.95,3069,1,"17_2069_2c_01557","17_2069_2b_01557"
"g004135","g004135",NA,"hypothetical protein",50,19,125,1.02,1,2,0,2,0,2,127,"hypothetical protein(127)","NA(127)",777,1065,972.05,3071,1,"17_2069_2c_01852","17_2069_2b_01852"
"g000088_1_000001","g000088_1",NA,"hypothetical protein",60,82,125,1.25,1,2,2,31,2,31,156,"hypothetical protein(158)","NA(158)",126,390,303.38,3072,1,"17_2069_2c_01027","17_2069_2b_01028"
"g006087_000004","g006087",NA,"hypothetical protein",90,12,124,1,1,1,0,0,0,0,124,"hypothetical protein(124)","NA(124)",429,633,457.69,3076,1,"17_2069_2c_04915","17_2069_2b_05008"
"g001309_000001","g001309",NA,"hypothetical protein",60,39,124,1,1,1,0,0,0,0,124,"hypothetical protein(124)","NA(124)",294,462,396.94,3076,2,"17_2069_2c_04916","17_2069_2b_05009"
"g002623_000002","g002623",NA,"hypothetical protein",70,28,124,1,1,1,0,0,0,0,124,"hypothetical protein(124)","NA(124)",414,426,414.97,3076,3,"17_2069_2c_04917","17_2069_2b_05010"
"g002262_1_000001","g002262_1","tas","Protein tas",60,15,124,1.14,1,3,8,16,8,17,141,"Protein tas(82):Aldo-keto reductase YhdN(25):hypothetical protein(25):Aldo-keto reductase IolS(17)","tas(82):yhdN(25):NA(25):iolS(17)",309,1062,814.55,3082,1,"17_2069_2c_00378","17_2069_2b_00380"
"g008090_000002","g008090",NA,"hypothetical protein",70,6,124,1.01,1,2,0,1,0,1,125,"hypothetical protein(125)","NA(125)",546,942,931.63,3087,1,"17_2069_2c_00612","17_2069_2b_00523"
"g005295_1_000004","g005295_1","potA","Spermidine/putrescine import ATP-binding protein PotA",70,12,123,1.01,1,2,0,1,0,1,124,"Spermidine/putrescine import ATP-binding protein PotA(110):Sulfate/thiosulfate import ATP-binding protein CysA(14)","potA(110):cysA(14)",1059,1065,1063.6,3090,1,"17_2069_2c_04881","17_2069_2b_04974"
"g007304","g007304",NA,"hypothetical protein",50,8,123,1,1,1,0,0,0,0,123,"hypothetical protein(123)","NA(123)",306,1398,1171.56,3091,1,"17_2069_2c_07487","17_2069_2b_07485"
"g004644","g004644",NA,"hypothetical protein",50,17,123,1,1,1,0,0,0,0,123,"hypothetical protein(123)","NA(123)",222,240,222.15,3094,1,"17_2069_2c_03703","17_2069_2b_03756"
"g003182_000001","g003182","aldHT","Aldehyde dehydrogenase%2C thermostable",60,23,123,1.04,1,2,1,5,1,5,128,"Aldehyde dehydrogenase%2C thermostable(128):hypothetical protein(1)","aldHT(128):NA(1)",147,1443,1406.98,3095,1,"17_2069_2c_05862","17_2069_2b_05863"
"g002208_1_000004","g002208_1","nikA","hypothetical protein",80,16,122,1.08,1,2,0,10,0,10,132,"hypothetical protein(99):Nickel-binding periplasmic protein(33)","NA(99):nikA(33)",1623,1635,1623.18,3100,1,"17_2069_2c_00982","17_2069_2b_00985"
"g004799_000002","g004799","gsiC","Glutathione transport system permease protein GsiC",70,16,122,1.08,1,2,0,10,0,10,132,"Glutathione transport system permease protein GsiC(132)","gsiC(132)",1002,1047,1009.95,3100,2,"17_2069_2c_00983","17_2069_2b_00986"
"g004194_1_000003","g004194_1","gsiD","Glutathione transport system permease protein GsiD",70,18,122,1.08,1,2,0,10,0,10,132,"Glutathione transport system permease protein GsiD(130):hypothetical protein(2)","gsiD(130):NA(2)",867,873,872.86,3100,3,"17_2069_2c_00984","17_2069_2b_00987"
"g004278_1_000003","g004278_1","yejF","putative ABC transporter ATP-binding protein YejF",70,17,122,1.08,1,2,1,10,1,10,132,"putative ABC transporter ATP-binding protein YejF(86):Glutathione import ATP-binding protein GsiA(32):putative ABC transporter ATP-binding protein(14):hypothetical protein(1)","yejF(86):gsiA(32):NA(15)",504,1683,1656.47,3100,4,"17_2069_2c_00985","17_2069_2b_00988"
"g004246","g004246",NA,"hypothetical protein",50,19,122,1,1,1,0,0,0,0,122,"hypothetical protein(122)","NA(122)",282,291,290.51,3102,1,"17_2069_2c_03207","17_2069_2b_04252"
"g004782","g004782","gcvA","Glycine cleavage system transcriptional activator",50,16,121,1,1,1,0,0,0,0,121,"Glycine cleavage system transcriptional activator(119):HTH-type transcriptional regulator GltC(2)","gcvA(119):gltC(2)",894,975,914.01,3111,1,"17_2069_2c_04049","17_2069_2b_03410"
"g012842_000001","g012842",NA,"hypothetical protein",60,4,121,1,1,1,0,0,0,0,121,"hypothetical protein(121)","NA(121)",1038,1617,1570.81,3113,1,"17_2069_2c_00575","17_2069_2b_00486"
"g002208_2_000003","g002208_2","nikA","hypothetical protein",70,14,121,1.08,1,2,0,10,0,10,131,"hypothetical protein(112):Nickel-binding periplasmic protein(19)","NA(112):nikA(19)",1629,1647,1636.24,3116,1,"17_2069_2c_00981","17_2069_2b_00984"
"g005218","g005218",NA,"hypothetical protein",50,15,121,1,1,1,0,0,0,0,121,"hypothetical protein(121)","NA(121)",255,279,268.34,3117,1,"17_2069_2c_03464","17_2069_2b_03995"
"g001795","g001795","rcsC","hypothetical protein",50,32,121,1.02,1,2,1,3,1,3,124,"hypothetical protein(124):Sensor histidine kinase RcsC(1)","NA(124):rcsC(1)",174,573,266.95,3120,1,"17_2069_2c_01767;17_2069_2c_06728","17_2069_2b_01767;17_2069_2b_06725"
"g012338_000003","g012338",NA,"hypothetical protein",80,5,120,1.01,1,2,0,1,0,1,121,"hypothetical protein(121)","NA(121)",243,270,244.81,3122,1,"17_2069_2c_00606","17_2069_2b_00517"
"g001774","g001774",NA,"hypothetical protein",50,34,120,1.02,1,2,0,3,0,3,123,"hypothetical protein(123)","NA(123)",249,1011,897.71,3126,1,"17_2069_2c_02201","17_2069_2b_02201"
"g004101_000001","g004101","sasA","Adaptive-response sensory-kinase SasA",60,19,120,1.01,1,2,0,1,0,1,121,"Adaptive-response sensory-kinase SasA(114):Sensor histidine kinase RcsC(7)","sasA(114):rcsC(7)",1311,1344,1317.62,3128,1,"17_2069_2c_02360","17_2069_2b_02360"
"g002385","g002385","lptB","Lipopolysaccharide export system ATP-binding protein LptB",50,29,120,1.2,1,2,0,24,0,24,144,"Lipopolysaccharide export system ATP-binding protein LptB(144)","lptB(144)",720,786,735.79,3130,1,"17_2069_2c_01136;17_2069_2c_01962","17_2069_2b_01137;17_2069_2b_01962"
"g004339","g004339",NA,"hypothetical protein",50,18,120,1,1,1,0,0,0,0,120,"hypothetical protein(120)","NA(120)",306,960,941.95,3131,1,"17_2069_2c_02405","17_2069_2b_02405"
"g004408_1_000005","g004408_1","galC","4-carboxy-4-hydroxy-2-oxoadipic acid aldolase",80,11,120,1.01,1,2,0,1,0,1,121,"4-carboxy-4-hydroxy-2-oxoadipic acid aldolase(100):4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase(21)","galC(100):proA(21)",672,672,672,3135,1,"17_2069_2c_02626","17_2069_2b_02626"
"g004666_1_000004","g004666_1",NA,"hypothetical protein",90,9,120,1.07,1,2,0,8,0,8,128,"hypothetical protein(128)","NA(128)",354,462,423.19,3136,1,"17_2069_2c_00472","17_2069_2b_00578"
"g005860_000001","g005860","galB","4-oxalmesaconate hydratase",60,13,120,1.03,1,2,0,4,0,4,124,"4-oxalmesaconate hydratase(124)","galB(124)",729,747,734.95,3138,1,"17_2069_2c_02624","17_2069_2b_02624"
"g000773_1_000002","g000773_1","dipZ","Protein DipZ",70,34,119,1.01,1,2,3,1,3,1,120,"Protein DipZ(118):hypothetical protein(3):Thiol-disulfide oxidoreductase ResA(2)","dipZ(118):NA(3):resA(2)",369,2550,1726.61,3142,1,"17_2069_2c_02356","17_2069_2b_02356"
"g004348_1_000001","g004348_1","cdhR","HTH-type transcriptional regulator CdhR",60,12,119,1,1,1,0,0,0,0,119,"HTH-type transcriptional regulator CdhR(119)","cdhR(119)",987,1062,1009.03,3144,1,"17_2069_2c_04605","17_2069_2b_04699"
"g004716_1_000004","g004716_1",NA,"hypothetical protein",90,9,119,1.05,1,2,3,6,3,6,125,"hypothetical protein(128)","NA(128)",177,1611,420.09,3147,1,"17_2069_2c_00524","17_2069_2b_00630"
"g003814_000001","g003814",NA,"hypothetical protein",60,21,119,1.03,1,2,0,3,0,3,122,"hypothetical protein(122)","NA(122)",273,420,414.2,3148,1,"17_2069_2c_02513","17_2069_2b_02513"
"g006569","g006569","prpE","Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical]",50,11,119,1,1,1,0,0,0,0,119,"Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical](76):Bis(5'-nucleosyl)-tetraphosphatase%2C symmetrical(41):hypothetical protein(2)","prpE(76):apaH(41):NA(2)",738,858,753.5,3150,1,"17_2069_2c_00228","17_2069_2b_00230"
"g007318","g007318","braC","hypothetical protein",50,9,118,1,1,1,0,0,0,0,118,"hypothetical protein(115):Leucine-%2C isoleucine-%2C valine-%2C threonine-%2C and alanine-binding protein(3)","NA(115):braC(3)",1167,1176,1168.37,3155,1,"17_2069_2c_02619","17_2069_2b_02619"
"g007612_000001","g007612","livH","hypothetical protein",60,9,118,1,1,1,0,0,0,0,118,"hypothetical protein(69):High-affinity branched-chain amino acid transport system permease protein LivH(49)","NA(69):livH(49)",852,861,855.18,3155,2,"17_2069_2c_02623","17_2069_2b_02623"
"g005699","g005699",NA,"hypothetical protein",50,12,118,1,1,1,0,0,0,0,118,"hypothetical protein(118)","NA(118)",1029,1068,1049.62,3155,3,"17_2069_2c_02622","17_2069_2b_02622"
"g007152_000001","g007152","lptB","Lipopolysaccharide export system ATP-binding protein LptB",60,10,118,1,1,1,0,0,0,0,118,"Lipopolysaccharide export system ATP-binding protein LptB(117):Cobalt import ATP-binding protein CbiO(1)","lptB(117):cbiO(1)",747,756,755.19,3155,4,"17_2069_2c_02621","17_2069_2b_02621"
"g006454_000001","g006454","livF","High-affinity branched-chain amino acid transport ATP-binding protein LivF",60,11,118,1,1,1,0,0,0,0,118,"High-affinity branched-chain amino acid transport ATP-binding protein LivF(118)","livF(118)",702,771,736.14,3155,5,"17_2069_2c_02620","17_2069_2b_02620"
"g007007_000001","g007007","csbD","hypothetical protein",60,10,118,1,1,1,0,0,0,0,118,"hypothetical protein(107):Stress response protein CsbD(11)","NA(107):csbD(11)",168,180,176.24,3157,1,"17_2069_2c_02397","17_2069_2b_02397"
"g002808","g002808","eryA","6-deoxyerythronolide-B synthase EryA2%2C modules 3 and 4",50,24,118,1,1,1,1,0,1,0,118,"6-deoxyerythronolide-B synthase EryA2%2C modules 3 and 4(74):L-threonine 3-dehydrogenase(38):hypothetical protein(6):Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsC(1)","eryA(74):tdh(38):NA(6):ppsC(1)",1062,7470,3416.04,3161,1,"17_2069_2c_03623","17_2069_2b_03836"
"g003498","g003498",NA,"hypothetical protein",50,22,118,1,1,1,2,0,2,0,118,"hypothetical protein(120)","NA(120)",411,2106,1728.1,3162,1,"17_2069_2c_02375","17_2069_2b_02375"
"g000247_000001","g000247",NA,"hypothetical protein",60,63,118,1.39,1,7,34,31,38,46,164,"hypothetical protein(203)","NA(203)",165,1581,1058.28,3164,1,"17_2069_2c_05072","17_2069_2b_05170"
"g003259","g003259",NA,"hypothetical protein",50,24,118,1.01,1,2,0,1,0,1,119,"hypothetical protein(119)","NA(119)",222,540,494.09,3165,1,"17_2069_2c_06730","17_2069_2b_06727"
"g003357_000001","g003357",NA,"putative protein",60,23,118,1.1,1,2,0,12,0,12,130,"putative protein(127):hypothetical protein(3)","NA(130)",198,1443,1373.08,3166,1,"17_2069_2c_06991","17_2069_2b_06990"
"g002954_1_000010","g002954_1","lrp","Leucine-responsive regulatory protein",80,9,117,1.01,1,2,0,1,0,1,118,"Leucine-responsive regulatory protein(118)","lrp(118)",462,471,468.15,3168,1,"17_2069_2c_06985","17_2069_2b_06984"
"g003016_2_000003","g003016_2","argG","Argininosuccinate synthase",80,13,117,1.01,1,2,0,1,0,1,118,"Argininosuccinate synthase(118)","argG(118)",1221,1248,1226.42,3168,2,"17_2069_2c_06986","17_2069_2b_06985"
"g000146_2","g000146_2","soxA","Sarcosine oxidase subunit alpha",50,13,117,1,1,1,0,0,0,0,117,"Sarcosine oxidase subunit alpha(117)","soxA(117)",2925,2958,2949.33,3169,1,"17_2069_2c_07646","17_2069_2b_07643"
"g000307_2","g000307_2","soxD","Sarcosine oxidase subunit delta",50,14,117,1.02,1,3,0,1,0,2,119,"Sarcosine oxidase subunit delta(117):hypothetical protein(2)","soxD(117):NA(2)",267,336,280.41,3169,2,"17_2069_2c_07645","17_2069_2b_07642"
"g005700_000002","g005700",NA,"hypothetical protein",70,13,117,1,1,1,0,0,0,0,117,"hypothetical protein(117)","NA(117)",660,693,676.26,3170,1,"17_2069_2c_02506","17_2069_2b_02506"
"g004848_000001","g004848","rspR","HTH-type transcriptional repressor RspR",60,16,117,1,1,1,0,0,0,0,117,"HTH-type transcriptional repressor RspR(73):hypothetical protein(43):Putative L-lactate dehydrogenase operon regulatory protein(1)","rspR(73):NA(43):lldR(1)",642,654,646.41,3170,2,"17_2069_2c_02507","17_2069_2b_02507"
"g002938","g002938","livH","High-affinity branched-chain amino acid transport system permease protein LivH",50,26,117,1.2,1,2,0,23,0,23,140,"High-affinity branched-chain amino acid transport system permease protein LivH(140)","livH(140)",684,867,856.61,3172,1,"17_2069_2c_01138;17_2069_2c_01960","17_2069_2b_01139;17_2069_2b_01960"
"g004906","g004906","occQ","Octopine transport system permease protein OccQ",50,16,117,1.08,1,3,0,8,0,9,126,"Octopine transport system permease protein OccQ(126)","occQ(126)",714,720,718.07,3177,1,"17_2069_2c_04491","17_2069_2b_04585"
"g002148_2_000067","g002148_2",NA,"hypothetical protein",95,5,117,1.06,1,2,0,7,0,7,124,"hypothetical protein(124)","NA(124)",210,516,212.47,3178,1,"17_2069_2c_00657","17_2069_2b_00568"
"g005485_000003","g005485","dapA","4-hydroxy-tetrahydrodipicolinate synthase",80,14,116,1,1,1,0,0,0,0,116,"4-hydroxy-tetrahydrodipicolinate synthase(116)","dapA(116)",888,921,892.91,3184,1,"17_2069_2c_02510","17_2069_2b_02510"
"g003801_000002","g003801","pucA","hypothetical protein",70,21,116,1.01,1,2,0,1,0,1,117,"hypothetical protein(116):putative xanthine dehydrogenase subunit A(1)","NA(116):pucA(1)",309,408,332.51,3185,1,"17_2069_2c_05118","17_2069_2b_02706"
"g003105","g003105",NA,"hypothetical protein",50,25,116,1,1,1,0,0,0,0,116,"hypothetical protein(116)","NA(116)",189,417,390.96,3187,1,"17_2069_2c_02941","17_2069_2b_03040"
"g004353_000002","g004353",NA,"hypothetical protein",70,18,116,1,1,1,0,0,0,0,116,"hypothetical protein(116)","NA(116)",954,987,979.27,3189,1,"17_2069_2c_02407","17_2069_2b_02407"
"g006113_000002","g006113","decR","DNA-binding transcriptional activator DecR",70,12,116,1.03,1,2,0,3,0,3,119,"DNA-binding transcriptional activator DecR(78):hypothetical protein(29):HTH-type transcriptional regulator LrpC(12)","decR(78):NA(29):lrpC(12)",189,480,422.47,3190,1,"17_2069_2c_01462","17_2069_2b_01462"
"g000309_000001","g000309","doeA","Ectoine hydrolase",60,62,116,1,1,1,114,0,114,0,116,"Ectoine hydrolase(115):Delta(1)-pyrroline-2-carboxylate reductase(70):Alanine dehydrogenase(45)","doeA(115):arcB(58):ala(45):NA(12)",1014,2190,1101.65,3191,1,"(17_2069_2c_04712:17_2069_2c_04713)","(17_2069_2b_04805:17_2069_2b_04806)"
"g002405_000003","g002405","doeB","N-alpha-acetyl-L-2%2C4-diaminobutyric acid deacetylase",80,25,115,1,1,1,1,0,1,0,115,"N-alpha-acetyl-L-2%2C4-diaminobutyric acid deacetylase(115):hypothetical protein(1)","doeB(115):NA(1)",255,1020,1005.21,3193,1,"17_2069_2c_04711","17_2069_2b_04804"
"g005173_000001","g005173","argT","Lysine/arginine/ornithine-binding periplasmic protein",60,15,115,1,1,1,0,0,0,0,115,"Lysine/arginine/ornithine-binding periplasmic protein(100):hypothetical protein(12):putative amino-acid ABC transporter-binding protein(3)","argT(100):NA(15)",846,858,852.42,3193,2,"17_2069_2c_04710","17_2069_2b_04803"
"g005750_000001","g005750","glnP","Glutamine transport system permease protein GlnP",60,13,115,1,1,1,0,0,0,0,115,"Glutamine transport system permease protein GlnP(101):L-cystine transport system permease protein YecS(14)","glnP(101):yecS(14)",666,666,666,3193,3,"17_2069_2c_04709","17_2069_2b_04802"
"g005474_000002","g005474","artQ","Arginine transport system permease protein ArtQ",70,14,115,1,1,1,0,0,0,0,115,"Arginine transport system permease protein ArtQ(100):L-cystine transport system permease protein YecS(15)","artQ(100):yecS(15)",693,693,693,3193,4,"17_2069_2c_04708","17_2069_2b_04801"
"g003748_1_000001","g003748_1",NA,"hypothetical protein",60,13,115,1.06,1,2,0,7,0,7,122,"hypothetical protein(122)","NA(122)",399,432,401.48,3195,1,"17_2069_2c_00640","17_2069_2b_00551"
"g009138_000003","g009138","asnC","Regulatory protein AsnC",80,7,115,1.03,1,2,0,3,0,3,118,"Regulatory protein AsnC(116):hypothetical protein(2)","asnC(116):NA(2)",438,438,438,3198,1,"17_2069_2c_02343","17_2069_2b_02343"
"g004301_000001","g004301","ptsJ","Vitamin B6 salvage pathway transcriptional repressor PtsJ",60,18,115,1,1,1,0,0,0,0,115,"Vitamin B6 salvage pathway transcriptional repressor PtsJ(115)","ptsJ(115)",1257,1389,1368.08,3200,1,"17_2069_2c_02408","17_2069_2b_02408"
"g005487_000002","g005487","fliY","hypothetical protein",70,14,115,1,1,1,0,0,0,0,115,"hypothetical protein(109):L-cystine-binding protein FliY(6)","NA(109):fliY(6)",888,891,890.82,3201,1,"17_2069_2c_02406","17_2069_2b_02406"
"g004085_000001","g004085","hisC","Histidinol-phosphate aminotransferase",60,19,115,1,1,1,0,0,0,0,115,"Histidinol-phosphate aminotransferase(108):hypothetical protein(3):HTH-type transcriptional regulator TauR(3):LL-diaminopimelate aminotransferase(1)","hisC(108):tauR(3):NA(3):dapL(1)",1431,1449,1447.59,3202,1,"17_2069_2c_04706","17_2069_2b_04799"
"g000792_000001","g000792","tdcB","L-threonine dehydratase catabolic TdcB",60,47,115,1,1,1,0,0,0,0,115,"L-threonine dehydratase catabolic TdcB(103):L-threonine ammonia-lyase(12)","tdcB(115)",978,1038,1017.34,3205,1,"17_2069_2c_04714","17_2069_2b_04807"
"g003066","g003066",NA,"hypothetical protein",50,25,115,1.02,1,2,0,2,0,2,117,"hypothetical protein(117)","NA(117)",870,1119,1056.64,3206,1,"17_2069_2c_01139;17_2069_2c_01959","17_2069_2b_01140;17_2069_2b_01959"
"g004473_000001","g004473","dadA","D-amino acid dehydrogenase",60,17,115,1,1,1,0,0,0,0,115,"D-amino acid dehydrogenase(115)","dadA(115)",2895,2922,2913.39,3207,1,"17_2069_2c_02511","17_2069_2b_02511"
"g002239_1_000001","g002239_1","livF","High-affinity branched-chain amino acid transport ATP-binding protein LivF",60,24,115,1.2,1,2,0,23,0,23,138,"High-affinity branched-chain amino acid transport ATP-binding protein LivF(138)","livF(138)",705,723,715.09,3208,1,"17_2069_2c_01137;17_2069_2c_01961","17_2069_2b_01138;17_2069_2b_01961"
"g004916_000003","g004916","cheY","Chemotaxis protein CheY",80,16,114,1,1,1,0,0,0,0,114,"Chemotaxis protein CheY(112):Response regulator ArlR(2)","cheY(112):arlR(2)",369,369,369,3210,1,"17_2069_2c_02196","17_2069_2b_02196"
"g004465_000001","g004465","cheA","Chemotaxis protein CheA",60,17,114,1,1,1,0,0,0,0,114,"Chemotaxis protein CheA(114)","cheA(114)",1968,2058,2016.05,3210,2,"17_2069_2c_02195","17_2069_2b_02195"
"g003947_000001","g003947","cheW","Chemotaxis protein CheW",60,20,114,1,1,1,0,0,0,0,114,"Chemotaxis protein CheW(88):hypothetical protein(26)","cheW(88):NA(26)",495,549,534.37,3210,3,"17_2069_2c_02194","17_2069_2b_02194"
"g004837_000002","g004837","cheW","Chemotaxis protein CheW",70,16,114,1,1,1,0,0,0,0,114,"Chemotaxis protein CheW(114)","cheW(114)",465,510,487.79,3210,4,"17_2069_2c_02191","17_2069_2b_02191"
"g003993_000001","g003993","cheR","Chemotaxis protein methyltransferase",60,20,114,1,1,1,0,0,0,0,114,"Chemotaxis protein methyltransferase(114)","cheR(114)",843,891,851.61,3210,5,"17_2069_2c_02190","17_2069_2b_02190"
"g004645_000002","g004645","cheB3","Chemotaxis response regulator protein-glutamate methylesterase of group 3 operon",70,17,114,1,1,1,0,0,0,0,114,"Chemotaxis response regulator protein-glutamate methylesterase of group 3 operon(58):Chemotaxis response regulator protein-glutamate methylesterase(56)","cheB3(58):cheB(56)",1083,1101,1091.66,3210,6,"17_2069_2c_02189","17_2069_2b_02189"
"g004494","g004494","cytR","HTH-type transcriptional repressor CytR",50,17,114,1,1,1,0,0,0,0,114,"HTH-type transcriptional repressor CytR(81):Ribose operon repressor(21):Catabolite control protein A(11):HTH-type transcriptional repressor PurR(1)","cytR(81):rbsR(21):ccpA(11):purR(1)",891,1251,941.66,3211,1,"17_2069_2c_07069","17_2069_2b_07068"
"g004752","g004752","malE","hypothetical protein",50,16,114,1,1,1,5,0,5,0,114,"hypothetical protein(115):Maltose-binding periplasmic protein(3):sn-glycerol-3-phosphate-binding periplasmic protein UgpB(1)","NA(115):malE(3):ugpB(1)",189,1251,1184.47,3211,2,"17_2069_2c_07070","17_2069_2b_07069"
"g004787","g004787","lacF","Lactose transport system permease protein LacF",50,16,114,1,1,1,1,0,1,0,114,"Lactose transport system permease protein LacF(99):sn-glycerol-3-phosphate transport system permease protein UgpA(16)","lacF(99):ugpA(16)",918,951,922.23,3211,3,"17_2069_2c_07071","17_2069_2b_07070"
"g005026_000002","g005026","metN","Methionine import ATP-binding protein MetN",70,15,114,1,1,1,0,0,0,0,114,"Methionine import ATP-binding protein MetN(114)","metN(114)",774,1086,1078.82,3212,1,"17_2069_2c_07544","17_2069_2b_07541"
"g005798_000002","g005798","metQ","D-methionine-binding lipoprotein MetQ",70,13,114,1.01,1,2,0,1,0,1,115,"D-methionine-binding lipoprotein MetQ(115)","metQ(115)",789,849,836.5,3212,2,"17_2069_2c_07545","17_2069_2b_07542"
"g004271","g004271","hypBA1","Non-reducing end beta-L-arabinofuranosidase",50,18,114,1,1,1,0,0,0,0,114,"Non-reducing end beta-L-arabinofuranosidase(110):hypothetical protein(4)","hypBA1(110):NA(4)",228,1971,1876.66,3217,1,"17_2069_2c_07073","17_2069_2b_07072"
"g007415","g007415","gcvA","Glycine cleavage system transcriptional activator",50,9,114,1,1,1,0,0,0,0,114,"Glycine cleavage system transcriptional activator(114)","gcvA(114)",867,942,914.87,3220,1,"17_2069_2c_02500","17_2069_2b_02500"
"g000619","g000619",NA,"hypothetical protein",50,52,114,1.25,1,3,0,28,0,29,143,"hypothetical protein(143)","NA(143)",216,237,229.3,3221,1,"17_2069_2c_02804","17_2069_2b_02904"
"g004774_1_000001","g004774_1","iolS","Aldo-keto reductase IolS",60,14,114,1.31,1,3,0,28,0,35,149,"Aldo-keto reductase IolS(133):hypothetical protein(16)","iolS(133):NA(16)",216,1065,970.67,3222,1,"17_2069_2c_05354","17_2069_2b_05355"
"g014260","g014260","ccpA","Catabolite control protein A",50,4,114,1,1,1,0,0,0,0,114,"Catabolite control protein A(83):HTH-type transcriptional repressor CytR(31)","ccpA(83):cytR(31)",1062,1077,1072.74,3223,1,"17_2069_2c_01621","17_2069_2b_01621"
"g006006","g006006","hdfR","HTH-type transcriptional regulator HdfR",50,12,114,1,1,1,0,0,0,0,114,"HTH-type transcriptional regulator HdfR(114)","hdfR(114)",882,954,931.08,3224,1,"17_2069_2c_00021","17_2069_2b_00023"
"g006063","g006063",NA,"hypothetical protein",50,12,114,1.01,1,2,0,1,0,1,115,"hypothetical protein(115)","NA(115)",576,579,576.91,3227,1,"17_2069_2c_06617","17_2069_2b_06614"
"g005751","g005751",NA,"hypothetical protein",50,13,114,1.04,1,2,0,5,0,5,119,"hypothetical protein(119)","NA(119)",666,825,737.6,3228,1,"17_2069_2c_07551","17_2069_2b_07548"
"g004779","g004779",NA,"hypothetical protein",50,16,113,1,1,1,0,0,0,0,113,"hypothetical protein(113)","NA(113)",558,585,565.57,3233,1,"17_2069_2c_06340","17_2069_2b_06337"
"g007264_1_000001","g007264_1","argP","hypothetical protein",60,6,113,1,1,1,0,0,0,0,113,"hypothetical protein(78):HTH-type transcriptional regulator ArgP(35)","NA(78):argP(35)",489,1287,1171.43,3235,1,"17_2069_2c_02617","17_2069_2b_02617"
"g006635_000001","g006635",NA,"hypothetical protein",60,10,113,1,1,1,0,0,0,0,113,"hypothetical protein(113)","NA(113)",378,405,393.29,3238,1,"17_2069_2c_00022","17_2069_2b_00024"
"g001583","g001583",NA,"hypothetical protein",50,36,113,1.09,1,2,0,10,0,10,123,"hypothetical protein(123)","NA(123)",126,312,245.8,3239,1,"17_2069_2c_03026","17_2069_2b_03125"
"g002834","g002834","nepI","Purine ribonucleoside efflux pump NepI",50,25,113,1.02,1,2,0,2,0,2,115,"Purine ribonucleoside efflux pump NepI(115)","nepI(115)",975,1308,1207.98,3240,1,"17_2069_2c_04486","17_2069_2b_04580"
"g003618","g003618",NA,"hypothetical protein",50,22,113,1,1,1,0,0,0,0,113,"hypothetical protein(113)","NA(113)",213,264,256.88,3241,1,"17_2069_2c_02859","17_2069_2b_02959"
"g006066","g006066",NA,"hypothetical protein",50,12,113,1,1,1,0,0,0,0,113,"hypothetical protein(113)","NA(113)",555,576,573.64,3242,1,"17_2069_2c_00024","17_2069_2b_00026"
